lon,lat,TreeType,SpeciesName,CommonName,TreeHeight,TreeCanopyEW,TreeCanopyNS,Tree_Status
151.1766825,-33.88273195,Park Tree,Acmena smithii,Lilly Pilly,8,5,4,Tree
151.176693,-33.88274103,Park Tree,Leptospermum citratum,Lemon Scented Tea Tree,5,7,6,Tree
151.1770759,-33.88289125,Park Tree,Tristaniopsis laurina,Water Gum,4,4,4,Tree
151.1769737,-33.88286909,Park Tree,Melaleuca styphelioides,Prickly Paperbark,6,5,5,Tree
151.1769409,-33.8828861,Park Tree,Melaleuca styphelioides,Prickly Paperbark,4,3,3,Tree
151.1767825,-33.88281441,Park Tree,Syzygium paniculatum,Brush Cherry,5,3,3,Tree
151.1819721,-33.89563705,Park Tree,Caesalpinia ferrea,Leopard Tree,7,4,2,Tree
151.1821113,-33.89561187,Park Tree,Melaleuca bracteata,River Tea Tree,6,3,4,Tree
151.1820791,-33.89567001,Park Tree,Acer palmatum,Japanese Maple,3,3,3,Tree
151.18203,-33.89568308,Park Tree,Acer palmatum,Japanese Maple,5,4,4,Tree
151.216349,-33.87953485,Park Tree,Melaleuca bracteata,River Tea Tree,10,4,3,Tree
151.2163189,-33.87954884,Park Tree,Melaleuca bracteata,River Tea Tree,10,5,4,Tree
151.185822,-33.87970135,Park Tree,Melaleuca styphelioides,Prickly Paperbark,9,4,5,Tree
151.1859135,-33.8796522,Park Tree,Eucalyptus microcorys,Tallow Wood,16,9,10,Tree
151.1843861,-33.87988263,Park Tree,Lophostemon confertus,Brush Box,16,13,13,Tree
151.1843086,-33.87990051,Park Tree,Callistemon viminalis,Weeping Bottlebrush,8,6,6,Tree
151.1844487,-33.88011476,Park Tree,Lophostemon confertus,Brush Box,9,7,10,Tree
151.182046,-33.895555,Park Tree,Caesalpinia ferrea,Leopard Tree,7,4,2,Tree
151.2163655,-33.87950226,Park Tree,Callistemon viminalis,Weeping Bottlebrush,5,3,3,Tree
151.1926128,-33.87948285,Park Tree,Platanus acerifolia,London Plane,20,18,15,Tree
151.1924188,-33.87937838,Park Tree,Lagerstroemia indica,Crepe Myrtle,5,5,5,Tree
151.185835,-33.8797193,Park Tree,Callistemon salignus,Willow Bottlebrush,9,4,4,Tree
151.1858528,-33.87974571,Park Tree,Callistemon viminalis,Weeping Bottlebrush,6,3,4,Tree
151.1848319,-33.8801241,Park Tree,Lophostemon confertus,Brush Box,10,11,6,Tree
151.1846303,-33.88015765,Park Tree,Callistemon viminalis,Weeping Bottlebrush,6,6,4,Tree
151.1845861,-33.87996457,Park Tree,Celtis australis,Nettle Tree,12,18,17,Tree
151.1846644,-33.87997086,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,5,4,Tree
151.1820081,-33.895597,Park Tree,Caesalpinia ferrea,Leopard Tree,6,3,2,Tree
151.1820159,-33.89567908,Park Tree,Michelia champaca,Champak,10,3,3,Tree
151.182046,-33.89567204,Park Tree,Michelia champaca,Champak,9,3,3,Tree
151.182103,-33.89561598,Park Tree,Robinia pseudoacacia 'Frisia',Golden Robinia,8,6,8,Tree
151.1927766,-33.8793123,Park Tree,Platanus acerifolia,London Plane,20,15,15,Tree
151.1925394,-33.87956131,Park Tree,Platanus acerifolia,London Plane,22,20,18,Tree
151.1925024,-33.87951063,Park Tree,Lagerstroemia indica,Crepe Myrtle,3,4,4,Tree
151.1859188,-33.87980232,Park Tree,Elaeocarpus reticulatus,Blueberry Ash,6,5,4,Tree
151.1859383,-33.87979017,Park Tree,Callistemon viminalis,Weeping Bottlebrush,4,2,1,Tree
151.1845563,-33.88025458,Park Tree,Murraya paniculata,Orange Jessamine,3,2,3,Tree
151.1846704,-33.87987582,Park Tree,Grevillea robusta,Silky Oak,13,5,5,Tree
151.1766801,-33.88286348,Park Tree,Melaleuca styphelioides,Prickly Paperbark,7,5,5,Tree
151.1766269,-33.8828342,Park Tree,Melaleuca linariifolia,Snow in Summer,5,5,5,Tree
151.1759959,-33.88320205,Park Tree,Eucalyptus microcorys,Tallow Wood,17,12,8,Tree
151.1758669,-33.88334,Park Tree,Eucalyptus microcorys,Tallow Wood,13,6,4,Tree
151.176339,-33.88314599,Park Tree,Angophora costata,Sydney Red Gum,12,6,6,Tree
151.17787,-33.883103,Park Tree,Angophora costata,Sydney Red Gum,6,4,4,Tree
151.178704,-33.88324005,Park Tree,Eucalyptus saligna,Sydney Blue Gum,12,3,3,Tree
151.192266,-33.88336777,Park Tree,Syzygium paniculatum,Brush Cherry,5,3,4,Tree
151.1921502,-33.88338501,Park Tree,Syzygium paniculatum,Brush Cherry,8,5,6,Tree
151.192104,-33.88312057,Park Tree,Waterhousea floribunda,Weeping Lilly Pilly,4,2,2,Tree
151.1919186,-33.88310793,Park Tree,Waterhousea floribunda,Weeping Lilly Pilly,4,3,1,Tree
151.1921338,-33.88332291,Park Tree,Nyssa sylvatica,Black Tupelo,4,1,1,Tree
151.200616,-33.885891,Park Tree,Platanus acerifolia,London Plane,14,7,8,Tree
151.200457,-33.88591699,Park Tree,Lophostemon confertus,Brush Box,8,4,4,Tree
151.200361,-33.88590594,Park Tree,Platanus acerifolia,London Plane,13,7,7,Tree
151.200555,-33.88570805,Park Tree,Pyrus calleryana,Callery Pear,7,5,4,Tree
151.200491,-33.88570206,Park Tree,Pyrus calleryana,Callery Pear,6,4,4,Tree
151.200606,-33.885783,Park Tree,Eucalyptus saligna,Sydney Blue Gum,25,12,11,Tree
151.200594,-33.88564504,Park Tree,Brachychiton acerifolius,Flame Tree,5,4,4,Tree
151.2006191,-33.885562,Park Tree,Jacaranda mimosifolia,Jacaranda,7,5,6,Tree
151.200174,-33.88517803,Park Tree,Angophora costata,Sydney Red Gum,8,5,5,Tree
151.184289,-33.87991123,Park Tree,Callistemon viminalis,Weeping Bottlebrush,4,3,3,Tree
151.1843845,-33.88004068,Park Tree,Callistemon viminalis,Weeping Bottlebrush,8,5,6,Tree
151.1844716,-33.88014945,Park Tree,Lophostemon confertus,Brush Box,12,8,9,Tree
151.1847748,-33.88000324,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,6,9,Tree
151.1841878,-33.87997349,Park Tree,Melaleuca linariifolia,Snow in Summer,4,3,3,Tree
151.1844911,-33.88030159,Park Tree,Tristaniopsis laurina,Water Gum,4,3,3,Tree
151.1844369,-33.88030485,Park Tree,Melaleuca linariifolia,Snow in Summer,6,3,3,Tree
151.2216271,-33.88050298,Park Tree,Casuarina glauca,Swamp Oak,21,4,4,Tree
151.2218008,-33.88040332,Park Tree,Casuarina glauca,Swamp Oak,19,3,5,Tree
151.1840424,-33.8804168,Park Tree,Celtis australis,Nettle Tree,12,16,19,Tree
151.1840993,-33.88050249,Park Tree,Jacaranda mimosifolia,Jacaranda,15,17,16,Tree
151.20017,-33.88509402,Park Tree,Angophora costata,Sydney Red Gum,8,5,6,Tree
151.1995681,-33.88558704,Park Tree,Eucalyptus saligna,Sydney Blue Gum,18,7,7,Tree
151.199557,-33.88576903,Park Tree,Eucalyptus punctata,Grey Gum,12,4,4,Tree
151.199592,-33.88567098,Park Tree,Jacaranda mimosifolia,Jacaranda,5,3,3,Tree
151.199501,-33.88588697,Park Tree,Melaleuca quinquenervia,Broad Leaf Paperbark,9,3,3,Tree
151.1816406,-33.88381077,Park Tree,Acer rubrum 'October Glory',Red Maple,4,1,1,Tree
151.209464,-33.90833897,Park Tree,Corymbia maculata,Spotted Gum,9,3,3,Tree
151.2094764,-33.90832058,Park Tree,Elaeocarpus eumundii,Quangdong,4,1,2,Tree
151.2098912,-33.90758538,Park Tree,Corymbia maculata,Spotted Gum,6,2,2,Tree
151.196722,-33.88701416,Park Tree,Melaleuca quinquenervia,Broad Leaf Paperbark,17,6,6,Tree
151.2261526,-33.8782621,Park Tree,Casuarina glauca,Swamp Oak,16,5,7,Tree
151.2048377,-33.91327445,Park Tree,Harpulia pendula,Tulipwood,7,4,4,Tree
151.2046727,-33.91305915,Park Tree,Flindersia australis,Crows Ash,6,2,2,Tree
151.2049898,-33.91296584,Park Tree,Harpulia pendula,Tulipwood,7,3,4,Tree
151.204923,-33.91289192,Park Tree,Harpulia pendula,Tulipwood,7,5,4,Tree
151.2048914,-33.91307956,Park Tree,Angophora costata,Sydney Red Gum,8,4,4,Tree
151.217665,-33.87806593,Park Tree,Eucalyptus botryoides,Swamp Mahogany,18,12,12,Tree
151.2142534,-33.89877758,Park Tree,Washingtonia robusta,Mexican or Washington Palm,12,4,4,Tree
151.214517,-33.89885742,Park Tree,Corymbia maculata,Spotted Gum,11,4,6,Tree
151.2098925,-33.90750361,Park Tree,Corymbia maculata,Spotted Gum,10,3,3,Tree
151.2101761,-33.90708446,Park Tree,Jacaranda mimosifolia,Jacaranda,4,2,1.5,Tree
151.184083,-33.88049793,Park Tree,Murraya sp,Jasmine,1,2,2,Tree
151.2210382,-33.88092416,Park Tree,Tristaniopsis laurina,Water Gum,4,3,3,Tree
151.2207845,-33.88111347,Park Tree,Harpulia pendula,Tulipwood,6,4,4,Tree
151.2210721,-33.88091599,Park Tree,Washingtonia robusta,Mexican or Washington Palm,2,2,2,Tree
151.1813388,-33.88149967,Park Tree,Elaeocarpus reticulatus,Blueberry Ash,13,10,8,Tree
151.1812881,-33.88146393,Park Tree,Ficus rubiginosa,Port Jackson or Rusty Fig,11,10,10,Tree
151.177564,-33.88307097,Park Tree,Erythrina crista-galli,Cockscomb Coral Tree,19,12,11,Tree
151.1797084,-33.88365012,Park Tree,Glochidion ferdinandii,Cheese Tree,9,4,4,Tree
151.1795612,-33.8835585,Park Tree,Glochidion ferdinandii,Cheese Tree,9,5,5,Tree
151.179535,-33.88362303,Park Tree,Banksia integrifolia,Coastal Banksia,8,8,4,Tree
151.1793716,-33.8835437,Park Tree,Glochidion ferdinandii,Cheese Tree,9,6,4,Tree
151.1782747,-33.88342901,Park Tree,Eucalyptus saligna,Sydney Blue Gum,14,10,11,Tree
151.17652,-33.88283893,Park Tree,Eucalyptus robusta,Swamp Mahogany,10,5,5,Tree
151.1769276,-33.88310403,Park Tree,Syncarpia glomulifera,Turpentine Tree,8,5,4,Tree
151.1770523,-33.88316196,Park Tree,Angophora costata,Sydney Red Gum,10,8,7,Tree
151.1771902,-33.8832062,Park Tree,Eucalyptus macrorhyncha,Red Stringybark,12,6,6,Tree
151.1771482,-33.88319251,Park Tree,Callitris columellaris,White Cypress Pine,8,5,5,Tree
151.177919,-33.88327298,Park Tree,Syncarpia glomulifera,Turpentine Tree,10,3,3,Tree
151.177993,-33.88328192,Park Tree,Angophora floribunda,Rough Barked Apple Myrtle,13,10,13,Tree
151.178484,-33.88350804,Park Tree,Angophora costata,Sydney Red Gum,16,13,10,Tree
151.1796061,-33.88374293,Park Tree,Angophora costata,Sydney Red Gum,14,8,9,Tree
151.179676,-33.88365001,Park Tree,Glochidion ferdinandii,Cheese Tree,8,6,8,Tree
151.1794009,-33.88359923,Park Tree,Angophora costata,Sydney Red Gum,12,5,4,Tree
151.1783311,-33.88335149,Park Tree,Glochidion ferdinandii,Cheese Tree,7,4,6,Tree
151.1786355,-33.88337646,Park Tree,Banksia integrifolia,Coastal Banksia,8,3,3,Tree
151.1764426,-33.88308296,Park Tree,Angophora costata,Sydney Red Gum,9,6,6,Tree
151.1791239,-33.88270539,Park Tree,Jacaranda mimosifolia,Jacaranda,11,12,11,Tree
151.1777456,-33.88298953,Park Tree,Phoenix canariensis,Canary Island Date Palm,11,6,6,Tree
151.1784171,-33.88291893,Park Tree,Angophora costata,Sydney Red Gum,9,5,3,Tree
151.178438,-33.88299301,Park Tree,Eucalyptus punctata,Grey Gum,11,4,4,Tree
151.178369,-33.88302797,Park Tree,Angophora costata,Sydney Red Gum,10,4,4,Tree
151.1781883,-33.88290699,Park Tree,Angophora costata,Sydney Red Gum,8,2,2,Tree
151.178186,-33.88290298,Park Tree,Casuarina cunninghamiana,River She Oak,20,9,9,Tree
151.1781795,-33.8831469,Park Tree,Eucalyptus pilularis,Blackbutt,11,7,6,Tree
151.1781543,-33.88322957,Park Tree,Eucalyptus microcorys,Tallow Wood,9,2,2,Tree
151.178289,-33.88319883,Park Tree,Eucalyptus saligna x botryoid,Wollybutt,8,5,4,Tree
151.1783785,-33.8832787,Park Tree,Angophora costata,Sydney Red Gum,11,4,3,Tree
151.178603,-33.88333495,Park Tree,Eucalyptus sideroxylon,Ironbark,7,3,3,Tree
151.178458,-33.88323704,Park Tree,Eucalyptus saligna,Sydney Blue Gum,8,4,6,Tree
151.1784901,-33.88330496,Park Tree,Angophora costata,Sydney Red Gum,5,2,2,Tree
151.1788854,-33.88325535,Park Tree,Eucalyptus saligna,Sydney Blue Gum,15,3,2,Tree
151.1789428,-33.88321761,Park Tree,Eucalyptus crebra,Red Ironbark,9,4,6,Tree
151.178558,-33.88302201,Park Tree,Tristaniopsis laurina,Water Gum,5,5,5,Tree
151.178581,-33.88301099,Park Tree,Tristaniopsis laurina,Water Gum,5,3,4,Tree
151.178674,-33.88300497,Park Tree,Angophora floribunda,Rough Barked Apple Myrtle,5,2,2,Tree
151.1785129,-33.88316499,Park Tree,Eucalyptus punctata,Grey Gum,16,7,8,Tree
151.178393,-33.883157,Park Tree,Eucalyptus saligna,Sydney Blue Gum,10,6,5,Tree
151.1779187,-33.88298406,Park Tree,Erythrina crista-galli,Cockscomb Coral Tree,17,12,14,Tree
151.178675,-33.8834848,Park Tree,Casuarina glauca,Swamp Oak,12,6,7,Tree
151.1792211,-33.8830127,Park Tree,Eucalyptus saligna,Sydney Blue Gum,16,7,7,Tree
151.179156,-33.882991,Park Tree,Eucalyptus saligna,Sydney Blue Gum,12,2,3,Tree
151.1819231,-33.89568907,Park Tree,Caesalpinia ferrea,Leopard Tree,8,4,4,Tree
151.181938,-33.89567207,Park Tree,Caesalpinia ferrea,Leopard Tree,7,4,3,Tree
151.181948,-33.89566401,Park Tree,Caesalpinia ferrea,Leopard Tree,7,6,3,Tree
151.1821101,-33.89565108,Park Tree,Robinia pseudoacacia 'Frisia',Golden Robinia,10,5,9,Tree
151.1925015,-33.87928193,Park Tree,Lagerstroemia indica,Crepe Myrtle,5,3,4,Tree
151.1924176,-33.87943643,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,5,5,Tree
151.1924518,-33.87946444,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,7,8,Tree
151.1847413,-33.88017471,Park Tree,Lophostemon confertus,Brush Box,13,7,9,Tree
151.1845343,-33.87980285,Park Tree,Lophostemon confertus,Brush Box,17,14,16,Tree
151.1844914,-33.87987832,Park Tree,Callistemon viminalis,Weeping Bottlebrush,6,9,6,Tree
151.184522,-33.88025795,Park Tree,Callistemon viminalis,Weeping Bottlebrush,5,3,3,Tree
151.1843469,-33.87997214,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,7,7,Tree
151.1847277,-33.87999551,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,5,4,Tree
151.1847485,-33.87996976,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,3,2,Tree
151.1846438,-33.87996822,Park Tree,Callistemon viminalis,Weeping Bottlebrush,6,1,2,Tree
151.1846111,-33.87991706,Park Tree,Callistemon viminalis,Weeping Bottlebrush,6,5,4,Tree
151.1841144,-33.88000631,Park Tree,Tristaniopsis laurina,Water Gum,4,4,3,Tree
151.1842377,-33.87994555,Park Tree,Tristaniopsis laurina,Water Gum,3,2,2,Tree
151.18445,-33.880333,Park Tree,Tristaniopsis laurina,Water Gum,5,3,3,Tree
151.184282,-33.88041601,Park Tree,Tristaniopsis laurina,Water Gum,4,2,2,Tree
151.1842899,-33.88038168,Park Tree,Harpulia pendula,Tulipwood,3,1,1,Tree
151.1791639,-33.882838,Park Tree,Eucalyptus saligna,Sydney Blue Gum,4,1,1,Tree
151.1790519,-33.88323085,Park Tree,Syncarpia glomulifera,Turpentine Tree,6,3,3,Tree
151.178986,-33.88319805,Park Tree,Eucalyptus saligna,Sydney Blue Gum,8,2,2,Tree
151.1790899,-33.88314791,Park Tree,Eucalyptus saligna,Sydney Blue Gum,16,4,6,Tree
151.1791664,-33.88317186,Park Tree,Eucalyptus saligna,Sydney Blue Gum,16,4,3,Tree
151.1792031,-33.88314544,Park Tree,Eucalyptus saligna,Sydney Blue Gum,18,7,8,Tree
151.1793439,-33.8830624,Park Tree,Eucalyptus saligna,Sydney Blue Gum,15,6,6,Tree
151.1792788,-33.88302681,Park Tree,Acacia floribunda,Gossamer Wattle,7,4,4,Tree
151.1764852,-33.88250775,Park Tree,Corymbia maculata,Spotted Gum,20,15,10,Tree
151.1762512,-33.88254017,Park Tree,Jacaranda mimosifolia,Jacaranda,9,8,6,Tree
151.1766204,-33.88276431,Park Tree,Acmena smithii,Lilly Pilly,6,4,3,Tree
151.1765981,-33.88262412,Park Tree,Acmena smithii,Lilly Pilly,7,5,5,Tree
151.1766639,-33.88271752,Park Tree,Acmena smithii,Lilly Pilly,7,5,5,Tree
151.1762937,-33.88261537,Park Tree,Lophostemon confertus,Brush Box,14,4,4,Tree
151.1758701,-33.88328802,Park Tree,Eucalyptus microcorys,Tallow Wood,17,9,8,Tree
151.177069,-33.88317808,Park Tree,Eucalyptus macrorhyncha,Red Stringybark,5,5,6,Tree
151.1787699,-33.88336294,Park Tree,Eucalyptus saligna,Sydney Blue Gum,18,10,10,Tree
151.175618,-33.88354299,Park Tree,Celtis australis,Not Applicable,9,12,10,Tree
151.1918888,-33.88339551,Park Tree,Jacaranda mimosifolia,Jacaranda,8,12,12,Tree
151.1921969,-33.88341717,Park Tree,Elaeocarpus reticulatus,Blueberry Ash,5,3,3,Tree
151.1923598,-33.88332145,Park Tree,Washingtonia filifera,Petticoat or Desert fan palm,13,4,4,Tree
151.1918476,-33.88330401,Park Tree,Waterhousea floribunda,Weeping Lilly Pilly,12,8,5,Tree
151.1918535,-33.88328254,Park Tree,Waterhousea floribunda,Weeping Lilly Pilly,11,8,3,Tree
151.1920922,-33.88311499,Park Tree,Waterhousea flori. 'Green Ave',Weeping Lilly Pilly,4,2,1,Tree
151.200277,-33.88591102,Park Tree,Ficus rubiginosa,Port Jackson or Rusty Fig,13,9,10,Tree
151.2005361,-33.88578802,Park Tree,Pyrus calleryana,Callery Pear,7,4,5,Tree
151.2005649,-33.88577203,Park Tree,Pyrus calleryana,Callery Pear,7,5,5,Tree
151.2005271,-33.88556201,Park Tree,Eucalyptus saligna,Sydney Blue Gum,20,14,12,Tree
151.199825,-33.88557303,Park Tree,Eucalyptus saligna,Sydney Blue Gum,21,7,9,Tree
151.1995349,-33.88585699,Park Tree,Araucaria cunninghamii,Hoop Pine,10,4,4,Tree
151.2101944,-33.9070198,Park Tree,Jacaranda mimosifolia,Jacaranda,4,3,2,Tree
151.2043617,-33.89732642,Park Tree,Liquidambar styraciflua,Liquidamber or Sweet Gum,11,8,4,Tree
151.2042991,-33.89741902,Park Tree,Washingtonia robusta,Mexican or Washington Palm,2,2,2,Tree
151.204346,-33.897305,Park Tree,Liquidambar styraciflua,Liquidamber or Sweet Gum,16,12,12,Tree
